Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
339,2017-03-28,WSH,@,MIN,W,OT,Alex Ovechkin,31-192,557,Kevin Shattenkirk,Marcus Johansson,Devan Dubnyk,2,12:28,PP,,Xcel Energy Center
340,2017-03-28,WSH,@,MIN,W,OT,Alex Ovechkin,31-192,558,Nicklas Bäckström,Marcus Johansson,Devan Dubnyk,3,12:29,PP,,Xcel Energy Center
341,2017-03-25,WSH,,ARI,W,,Alex Ovechkin,31-189,555,Nicklas Bäckström,Marcus Johansson,Mike Smith,1,08:31,PP,,Verizon Center
342,2017-03-21,WSH,,CGY,W,,Alex Ovechkin,31-185,554,Kevin Shattenkirk,Nicklas Bäckström,Brian Elliott,3,17:09,PP,,Verizon Center
343,2017-03-14,WSH,,MIN,W,,Alex Ovechkin,31-178,553,John Carlson,Nicklas Bäckström,Devan Dubnyk,2,14:52,EV,,Verizon Center
344,2017-02-19,WSH,@,NYR,L,,Alex Ovechkin,31-155,552,Lars Eller,Evgeny Kuznetsov,Henrik Lundqvist,2,17:24,PP,,Madison Square Garden (IV)
345,2017-02-07,WSH,,CAR,W,,Alex Ovechkin,31-143,551,Matt Niskanen,Nicklas Bäckström,Eddie Läck,1,10:23,PP,,Verizon Center
346,2017-02-01,WSH,,BOS,W,,Alex Ovechkin,31-137,550,Matt Niskanen,Nicklas Bäckström,Tuukka Rask,2,19:45,PP,,Verizon Center
347,2017-01-31,WSH,@,NYI,L,,Alex Ovechkin,31-136,549,Nicklas Bäckström,Evgeny Kuznetsov,Thomas Greiss,3,19:13,EV,,Barclays Center
348,2017-01-26,WSH,@,NJD,W,,Alex Ovechkin,31-131,548,,,Keith Kinkaid,1,06:14,EV,,Prudential Center
349,2017-01-21,WSH,@,DAL,W,OT,Alex Ovechkin,31-126,547,Matt Niskanen,Nicklas Bäckström,Kari Lehtonen,3,03:18,PP,,American Airlines Center
350,2017-01-11,WSH,,PIT,W,,Alex Ovechkin,31-116,545,Nicklas Bäckström,T.J. Oshie,Marc-André Fleury,1,00:35,EV,,Verizon Center
351,2017-01-11,WSH,,PIT,W,,Alex Ovechkin,31-116,546,John Carlson,Nicklas Bäckström,Marc-André Fleury,2,08:06,PP,,Verizon Center
352,2017-01-09,WSH,@,MTL,W,,Alex Ovechkin,31-114,544,Nicklas Bäckström,Marcus Johansson,Carey Price,3,16:36,PP,,Bell Centre
353,2017-01-03,WSH,,TOR,W,OT,Alex Ovechkin,31-108,543,John Carlson,Evgeny Kuznetsov,Frederik Andersen,OT,00:22,EV,,Verizon Center
354,2016-12-31,WSH,@,NJD,W,,Alex Ovechkin,31-105,542,Matt Niskanen,T.J. Oshie,Keith Kinkaid,2,11:38,EV,,Prudential Center
355,2016-12-27,WSH,@,NYI,L,,Alex Ovechkin,31-101,541,Justin Williams,Evgeny Kuznetsov,Jaroslav Halák,3,01:17,EV,,Barclays Center
356,2016-12-23,WSH,,TBL,W,,Alex Ovechkin,31-097,540,Dmitry Orlov,,Andrei Vasilevskiy,2,10:48,EV,,Verizon Center
357,2016-12-16,WSH,@,CAR,W,SO,Alex Ovechkin,31-090,539,Nicklas Bäckström,John Carlson,Cam Ward,2,06:25,PP,,PNC Arena
358,2016-12-11,WSH,,VAN,W,,Alex Ovechkin,31-085,538,John Carlson,Nicklas Bäckström,Jacob Markström,1,13:46,PP,,Verizon Center
359,2016-11-23,WSH,,STL,W,,Alex Ovechkin,31-067,536,John Carlson,André Burakovsky,Carter Hutton,2,10:12,EV,,Verizon Center
360,2016-11-23,WSH,,STL,W,,Alex Ovechkin,31-067,537,,,Carter Hutton,3,06:53,EV,,Verizon Center
361,2016-11-23,WSH,,STL,W,,Alex Ovechkin,31-067,535,Evgeny Kuznetsov,Nicklas Bäckström,Carter Hutton,1,17:28,PP,,Verizon Center
362,2016-11-20,WSH,,CBJ,L,,Alex Ovechkin,31-064,534,Nicklas Bäckström,Matt Niskanen,Sergei Bobrovsky,2,10:31,PP,,Verizon Center
363,2016-11-16,WSH,,PIT,W,,Alex Ovechkin,31-060,533,André Burakovsky,,Marc-André Fleury,3,10:26,EV,,Verizon Center
364,2016-11-05,WSH,,FLA,W,,Alex Ovechkin,31-049,532,Brooks Orpik,Nate Schmidt,Roberto Luongo,3,08:42,EV,,Verizon Center
365,2016-11-03,WSH,,WPG,W,OT,Alex Ovechkin,31-047,530,John Carlson,Nicklas Bäckström,Michael Hutchinson,2,10:04,EV,,Verizon Center
366,2016-11-03,WSH,,WPG,W,OT,Alex Ovechkin,31-047,531,John Carlson,Nicklas Bäckström,Michael Hutchinson,OT,03:21,PP,,Verizon Center
367,2016-10-26,WSH,@,EDM,L,,Alex Ovechkin,31-039,529,Matt Niskanen,André Burakovsky,Cam Talbot,3,00:09,EV,,Rogers Place
368,2016-10-22,WSH,,NYR,L,,Alex Ovechkin,31-035,528,Evgeny Kuznetsov,Dmitry Orlov,Henrik Lundqvist,1,14:49,EV,,Verizon Center
369,2016-10-20,WSH,@,FLA,W,,Alex Ovechkin,31-033,527,Matt Niskanen,Karl Alzner,Roberto Luongo,3,07:33,EV,,BB&T Center
370,2016-10-18,WSH,,COL,W,,Alex Ovechkin,31-031,526,Dmitry Orlov,Marcus Johansson,Semyon Varlamov,1,15:44,PP,,Verizon Center
371,2016-04-09,WSH,@,STL,W,,Alex Ovechkin,30-205,523,John Carlson,Nicklas Bäckström,Brian Elliott,1,04:04,EV,,Scottrade Center
372,2016-04-09,WSH,@,STL,W,,Alex Ovechkin,30-205,524,Nicklas Bäckström,,Brian Elliott,1,06:49,EV,,Scottrade Center
373,2016-04-09,WSH,@,STL,W,,Alex Ovechkin,30-205,525,Nicklas Bäckström,T.J. Oshie,Anders Nilsson,3,10:35,EV,,Scottrade Center
374,2016-04-05,WSH,,NYI,L,OT,Alex Ovechkin,30-201,521,T.J. Oshie,Marcus Johansson,Christopher Gibson,1,04:29,EV,,Verizon Center
375,2016-04-05,WSH,,NYI,L,OT,Alex Ovechkin,30-201,522,T.J. Oshie,Marcus Johansson,Christopher Gibson,3,06:56,EV,,Verizon Center
376,2016-04-01,WSH,@,COL,W,,Alex Ovechkin,30-197,520,Marcus Johansson,Evgeny Kuznetsov,Semyon Varlamov,2,12:57,PP,,Pepsi Center
377,2016-03-30,WSH,@,PHI,L,SO,Alex Ovechkin,30-195,519,Evgeny Kuznetsov,Justin Williams,Steve Mason,3,01:28,PP,,Wells Fargo Center
378,2016-03-22,WSH,@,OTT,W,,Alex Ovechkin,30-187,518,Marcus Johansson,Nicklas Bäckström,Craig Anderson,1,12:22,PP,,Canadian Tire Centre
379,2016-03-15,WSH,,CAR,W,OT,Alex Ovechkin,30-180,517,Evgeny Kuznetsov,,Eddie Läck,OT,01:38,EV,,Verizon Center
380,2016-03-02,WSH,,TOR,W,,Alex Ovechkin,30-167,516,Nicklas Bäckström,T.J. Oshie,Jonathan Bernier,1,18:43,EV,,Verizon Center
381,2016-02-26,WSH,,MIN,W,,Alex Ovechkin,30-162,515,Matt Niskanen,Nicklas Bäckström,Darcy Kuemper,3,04:35,PP,,Verizon Center
382,2016-02-22,WSH,,ARI,W,,Alex Ovechkin,30-158,514,Justin Williams,Evgeny Kuznetsov,Louis Domingue,3,08:17,EV,,Verizon Center
383,2016-02-20,WSH,,NJD,W,,Alex Ovechkin,30-156,513,Dmitry Orlov,,Cory Schneider,1,17:02,EV,,Verizon Center
384,2016-02-18,WSH,@,NYI,W,OT,Alex Ovechkin,30-154,511,Evgeny Kuznetsov,Justin Williams,Thomas Greiss,2,01:25,EV,,Barclays Center
385,2016-02-18,WSH,@,NYI,W,OT,Alex Ovechkin,30-154,512,Nicklas Bäckström,T.J. Oshie,Thomas Greiss,2,02:52,PP,,Barclays Center
386,2016-02-13,WSH,@,DAL,L,,Alex Ovechkin,30-149,510,John Carlson,Nicklas Bäckström,Kari Lehtonen,3,04:03,PP,,American Airlines Center
387,2016-02-11,WSH,@,MIN,W,,Alex Ovechkin,30-147,507,T.J. Oshie,Nicklas Bäckström,Devan Dubnyk,2,02:14,EV,,Xcel Energy Center
388,2016-02-11,WSH,@,MIN,W,,Alex Ovechkin,30-147,509,Nicklas Bäckström,,Devan Dubnyk,2,14:55,EV,,Xcel Energy Center
389,2016-02-11,WSH,@,MIN,W,,Alex Ovechkin,30-147,508,John Carlson,Nicklas Bäckström,Devan Dubnyk,2,05:21,PP,,Xcel Energy Center
390,2016-02-09,WSH,@,NSH,W,,Alex Ovechkin,30-145,506,Nicklas Bäckström,Marcus Johansson,,3,19:00,PP,EN,Bridgestone Arena
391,2016-02-07,WSH,,PHI,W,,Alex Ovechkin,30-143,505,Karl Alzner,,Steve Mason,2,15:56,EV,,Verizon Center
392,2016-02-04,WSH,,NYI,W,,Alex Ovechkin,30-140,504,Nicklas Bäckström,T.J. Oshie,Jaroslav Halák,3,17:20,EV,,Verizon Center
393,2016-01-19,WSH,@,CBJ,W,,Alex Ovechkin,30-124,503,Evgeny Kuznetsov,Matt Niskanen,Sergei Bobrovsky,2,03:16,PP,,Nationwide Arena
394,2016-01-17,WSH,,NYR,W,,Alex Ovechkin,30-122,502,Evgeny Kuznetsov,Dmitry Orlov,Antti Raanta,1,18:01,PP,,Verizon Center
395,2016-01-10,WSH,,OTT,W,,Alex Ovechkin,30-115,501,Nicklas Bäckström,T.J. Oshie,Andrew Hammond,3,09:46,EV,,Verizon Center
396,2016-01-10,WSH,,OTT,W,,Alex Ovechkin,30-115,500,Jason Chimera,André Burakovsky,Andrew Hammond,2,16:19,PP,,Verizon Center
397,2016-01-09,WSH,@,NYR,W,OT,Alex Ovechkin,30-114,499,Nate Schmidt,,Henrik Lundqvist,OT,01:25,EV,,Madison Square Garden (IV)
398,2016-01-09,WSH,@,NYR,W,OT,Alex Ovechkin,30-114,498,,,Henrik Lundqvist,1,19:45,PP,,Madison Square Garden (IV)
399,2016-01-07,WSH,@,NYI,W,,Alex Ovechkin,30-112,497,Karl Alzner,,Jaroslav Halák,1,15:45,EV,,Barclays Center
400,2015-12-31,WSH,@,CAR,L,,Alex Ovechkin,30-105,496,Brooks Laich,,Eddie Läck,3,14:16,EV,,PNC Arena
401,2015-12-30,WSH,,BUF,W,,Alex Ovechkin,30-104,494,Evgeny Kuznetsov,T.J. Oshie,Chad Johnson,3,01:24,EV,,Verizon Center
402,2015-12-30,WSH,,BUF,W,,Alex Ovechkin,30-104,495,,,,3,18:47,EV,EN,Verizon Center
403,2015-12-28,WSH,@,BUF,W,,Alex Ovechkin,30-102,493,Nicklas Bäckström,T.J. Oshie,Linus Ullmark,2,00:19,EV,,First Niagara Center
404,2015-12-20,WSH,@,NYR,W,,Alex Ovechkin,30-094,492,Marcus Johansson,Nicklas Bäckström,Henrik Lundqvist,2,11:03,PP,,Madison Square Garden (IV)
405,2015-12-18,WSH,,TBL,W,,Alex Ovechkin,30-092,490,T.J. Oshie,John Carlson,Ben Bishop,2,13:49,PP,,Verizon Center
406,2015-12-18,WSH,,TBL,W,,Alex Ovechkin,30-092,491,Jason Chimera,Justin Williams,Ben Bishop,3,10:02,PP,,Verizon Center
407,2015-12-10,WSH,@,FLA,L,,Alex Ovechkin,30-084,489,John Carlson,Nicklas Bäckström,Al Montoya,3,17:52,EV,,BB&T Center
408,2015-12-08,WSH,,DET,W,SO,Alex Ovechkin,30-082,488,Marcus Johansson,Nicklas Bäckström,Jimmy Howard,3,10:51,PP,,Verizon Center
409,2015-11-27,WSH,,TBL,W,,Alex Ovechkin,30-071,487,Jason Chimera,Evgeny Kuznetsov,Andrei Vasilevskiy,1,07:09,PP,,Verizon Center
410,2015-11-25,WSH,,WPG,W,,Alex Ovechkin,30-069,486,John Carlson,Nicklas Bäckström,Michael Hutchinson,1,18:46,PP,,Verizon Center
411,2015-11-21,WSH,,COL,W,,Alex Ovechkin,30-065,485,Nicklas Bäckström,Taylor Chorney,Reto Berra,1,07:15,EV,,Verizon Center
412,2015-11-19,WSH,,DAL,L,,Alex Ovechkin,30-063,484,Nicklas Bäckström,T.J. Oshie,Kari Lehtonen,3,07:01,EV,,Verizon Center
413,2015-11-07,WSH,,TOR,W,SO,Alex Ovechkin,30-051,483,Evgeny Kuznetsov,Nicklas Bäckström,James Reimer,2,04:51,PP,,Verizon Center
414,2015-11-05,WSH,,BOS,W,,Alex Ovechkin,30-049,482,Evgeny Kuznetsov,John Carlson,Tuukka Rask,1,17:27,EV,,Verizon Center
415,2015-11-03,WSH,@,NYR,L,,Alex Ovechkin,30-047,481,Nate Schmidt,,Henrik Lundqvist,1,15:45,EV,,Madison Square Garden (IV)
416,2015-10-22,WSH,@,VAN,W,,Alex Ovechkin,30-035,480,Evgeny Kuznetsov,Dmitry Orlov,Ryan Miller,3,15:05,EV,,Rogers Arena
417,2015-10-20,WSH,@,CGY,W,,Alex Ovechkin,30-033,479,Brooks Orpik,Evgeny Kuznetsov,Karri Rämö,2,00:30,EV,,Scotiabank Saddledome
418,2015-10-17,WSH,,CAR,W,,Alex Ovechkin,30-030,478,,,Cam Ward,3,16:11,EV,,Verizon Center
419,2015-10-15,WSH,,CHI,W,,Alex Ovechkin,30-028,477,Evgeny Kuznetsov,T.J. Oshie,Scott Darling,3,14:18,EV,,Verizon Center
420,2015-10-10,WSH,,NJD,W,,Alex Ovechkin,30-023,476,Matt Niskanen,,Keith Kinkaid,3,06:33,EV,,Verizon Center
421,2015-04-11,WSH,,NYR,L,,Alex Ovechkin,29-206,475,John Carlson,Nicklas Bäckström,Henrik Lundqvist,2,06:31,PP,,Verizon Center
422,2015-04-02,WSH,@,MTL,W,SO,Alex Ovechkin,29-197,473,John Carlson,Braden Holtby,Carey Price,2,14:08,PP,,Bell Centre
423,2015-04-02,WSH,@,MTL,W,SO,Alex Ovechkin,29-197,474,John Carlson,Nicklas Bäckström,Carey Price,3,11:06,PP,,Bell Centre
424,2015-03-31,WSH,,CAR,W,,Alex Ovechkin,29-195,472,Evgeny Kuznetsov,Matt Niskanen,Cam Ward,1,11:12,EV,,Verizon Center
425,2015-03-29,WSH,@,NYR,W,,Alex Ovechkin,29-193,470,Joel Ward,John Carlson,Cam Talbot,1,04:32,EV,,Madison Square Garden (IV)
426,2015-03-29,WSH,@,NYR,W,,Alex Ovechkin,29-193,471,Nicklas Bäckström,Matt Niskanen,Cam Talbot,2,11:17,PP,,Madison Square Garden (IV)
427,2015-03-19,WSH,@,MIN,W,,Alex Ovechkin,29-183,468,Karl Alzner,Matt Niskanen,Devan Dubnyk,2,15:25,EV,,Xcel Energy Center
428,2015-03-19,WSH,@,MIN,W,,Alex Ovechkin,29-183,469,Nicklas Bäckström,,Devan Dubnyk,3,03:05,EV,,Xcel Energy Center
429,2015-03-11,WSH,,NYR,L,,Alex Ovechkin,29-175,467,Evgeny Kuznetsov,Joel Ward,Cam Talbot,1,11:43,PP,,Verizon Center
430,2015-03-07,WSH,,BUF,W,,Alex Ovechkin,29-171,466,John Carlson,Nicklas Bäckström,Matt Hackett,2,09:31,PP,,Verizon Center
431,2015-03-03,WSH,@,CBJ,W,,Alex Ovechkin,29-167,464,Brooks Orpik,Nicklas Bäckström,Sergei Bobrovsky,1,03:37,EV,,Nationwide Arena
432,2015-03-03,WSH,@,CBJ,W,,Alex Ovechkin,29-167,465,Nicklas Bäckström,John Carlson,Sergei Bobrovsky,3,03:17,PP,,Nationwide Arena
433,2015-03-01,WSH,,TOR,W,,Alex Ovechkin,29-165,462,Nicklas Bäckström,Karl Alzner,James Reimer,1,00:33,EV,,Verizon Center
434,2015-03-01,WSH,,TOR,W,,Alex Ovechkin,29-165,463,Brooks Orpik,John Carlson,James Reimer,2,05:30,EV,,Verizon Center
435,2015-02-25,WSH,,PIT,L,,Alex Ovechkin,29-161,461,John Carlson,Troy Brouwer,Marc-André Fleury,3,16:26,PP,,Verizon Center
436,2015-02-19,WSH,,WPG,W,,Alex Ovechkin,29-155,460,Karl Alzner,Matt Niskanen,Ondřej Pavelec,1,18:35,EV,,Verizon Center
437,2015-02-17,WSH,@,PIT,W,,Alex Ovechkin,29-153,459,Joel Ward,Mike Green,Marc-André Fleury,1,18:36,PP,,CONSOL Energy Center
438,2015-02-15,WSH,@,ANA,W,,Alex Ovechkin,29-151,457,Nicklas Bäckström,,John Gibson,1,01:22,EV,,Honda Center
439,2015-02-15,WSH,@,ANA,W,,Alex Ovechkin,29-151,458,Mike Green,Nicklas Bäckström,John Gibson,1,10:26,PP,,Honda Center
440,2015-02-14,WSH,@,LAK,L,,Alex Ovechkin,29-150,456,Evgeny Kuznetsov,,Jonathan Quick,3,01:55,EV,,STAPLES Center
441,2015-02-08,WSH,,PHI,L,,Alex Ovechkin,29-144,455,Evgeny Kuznetsov,Nicklas Bäckström,Ray Emery,2,13:29,PP,,Verizon Center
442,2015-02-05,WSH,@,OTT,W,,Alex Ovechkin,29-141,454,Jay Beagle,Marcus Johansson,Robin Lehner,2,14:17,EV,,Canadian Tire Centre
443,2015-02-01,WSH,,STL,L,,Alex Ovechkin,29-137,453,Nicklas Bäckström,,Brian Elliott,2,14:30,EV,,Verizon Center
444,2015-02-01,WSH,,STL,L,,Alex Ovechkin,29-137,452,Mike Green,Nicklas Bäckström,Brian Elliott,1,09:50,PP,,Verizon Center
445,2015-01-28,WSH,,PIT,W,,Alex Ovechkin,29-133,450,Karl Alzner,Nicklas Bäckström,Marc-André Fleury,1,04:50,EV,,Verizon Center
446,2015-01-28,WSH,,PIT,W,,Alex Ovechkin,29-133,451,Mike Green,Nicklas Bäckström,Marc-André Fleury,2,17:19,PP,,Verizon Center
447,2015-01-20,WSH,,EDM,L,SO,Alex Ovechkin,29-125,448,André Burakovsky,Mike Green,Viktor Fasth,1,01:48,EV,,Verizon Center
448,2015-01-20,WSH,,EDM,L,SO,Alex Ovechkin,29-125,449,Mike Green,Marcus Johansson,Viktor Fasth,1,13:58,PP,,Verizon Center
449,2015-01-17,WSH,@,DAL,L,,Alex Ovechkin,29-122,447,Nicklas Bäckström,,Kari Lehtonen,3,00:21,EV,,American Airlines Center
450,2015-01-16,WSH,@,NSH,L,,Alex Ovechkin,29-121,445,Karl Alzner,Nicklas Bäckström,Carter Hutton,2,03:46,EV,,Bridgestone Arena
451,2015-01-16,WSH,@,NSH,L,,Alex Ovechkin,29-121,446,Mike Green,Troy Brouwer,Carter Hutton,2,06:18,PP,,Bridgestone Arena
452,2015-01-12,WSH,,COL,W,,Alex Ovechkin,29-117,444,Troy Brouwer,Nicklas Bäckström,Semyon Varlamov,2,17:46,PP,,Verizon Center
453,2015-01-08,WSH,@,PHI,L,OT,Alex Ovechkin,29-113,443,Mike Green,Marcus Johansson,Steve Mason,1,03:08,PP,,Wells Fargo Center
454,2015-01-07,WSH,@,TOR,W,,Alex Ovechkin,29-112,442,,,,3,19:33,EV,EN,Air Canada Centre
455,2015-01-04,WSH,,FLA,W,,Alex Ovechkin,29-109,441,Nicklas Bäckström,Marcus Johansson,Roberto Luongo,2,01:16,PP,,Verizon Center
456,2015-01-01,WSH,,CHI,W,,Alex Ovechkin,29-106,440,Mike Green,Jack Hillen,Corey Crawford,1,11:58,EV,,Nationals Park
457,2014-12-29,WSH,@,NYI,L,OT,Alex Ovechkin,29-103,439,Nicklas Bäckström,,Jaroslav Halák,3,17:19,EV,,Nassau Veterans Memorial Coliseum
458,2014-12-23,WSH,@,NYR,L,,Alex Ovechkin,29-097,438,John Carlson,Marcus Johansson,Henrik Lundqvist,3,10:58,PP,,Madison Square Garden (IV)
459,2014-12-20,WSH,@,NJD,W,,Alex Ovechkin,29-094,437,Nicklas Bäckström,,Cory Schneider,3,07:16,EV,,Prudential Center
460,2014-12-09,WSH,@,TBL,W,,Alex Ovechkin,29-083,435,Tom Wilson,John Carlson,Ben Bishop,1,00:40,EV,,Amalie Arena
461,2014-12-09,WSH,@,TBL,W,,Alex Ovechkin,29-083,436,Nicklas Bäckström,,,3,19:59,EV,EN,Amalie Arena
462,2014-11-28,WSH,,NYI,W,,Alex Ovechkin,29-072,434,Tom Wilson,Nicklas Bäckström,Chad Johnson,2,09:53,EV,,Verizon Center
463,2014-11-26,WSH,@,NYI,L,OT,Alex Ovechkin,29-070,432,Matt Niskanen,Nicklas Bäckström,Jaroslav Halák,1,13:46,PP,,Nassau Veterans Memorial Coliseum
464,2014-11-26,WSH,@,NYI,L,OT,Alex Ovechkin,29-070,433,Nicklas Bäckström,Marcus Johansson,Jaroslav Halák,2,18:47,PP,,Nassau Veterans Memorial Coliseum
465,2014-11-20,WSH,@,COL,W,,Alex Ovechkin,29-064,431,Brooks Orpik,Nicklas Bäckström,Reto Berra,3,14:04,EV,,Pepsi Center
466,2014-11-11,WSH,,CBJ,W,,Alex Ovechkin,29-055,430,Jay Beagle,Nicklas Bäckström,Curtis McElhinney,1,16:04,EV,,Verizon Center
467,2014-11-11,WSH,,CBJ,W,,Alex Ovechkin,29-055,429,Mike Green,Nicklas Bäckström,Curtis McElhinney,1,07:49,PP,,Verizon Center
468,2014-11-02,WSH,,ARI,L,,Alex Ovechkin,29-046,428,Mike Green,Nicklas Bäckström,Devan Dubnyk,1,16:09,PP,,Verizon Center
469,2014-10-16,WSH,,NJD,W,,Alex Ovechkin,29-029,427,Troy Brouwer,Brooks Orpik,Cory Schneider,1,00:34,EV,,Verizon Center
470,2014-10-14,WSH,,SJS,L,SO,Alex Ovechkin,29-027,425,Nicklas Bäckström,Eric Fehr,Antti Niemi,2,07:09,EV,,Verizon Center
471,2014-10-14,WSH,,SJS,L,SO,Alex Ovechkin,29-027,426,Nicklas Bäckström,John Carlson,Antti Niemi,3,14:09,PP,,Verizon Center
472,2014-10-11,WSH,@,BOS,W,,Alex Ovechkin,29-024,424,Nicklas Bäckström,Karl Alzner,Tuukka Rask,1,18:39,EV,,TD Garden
473,2014-10-11,WSH,@,BOS,W,,Alex Ovechkin,29-024,423,John Carlson,Nicklas Bäckström,Tuukka Rask,1,11:26,PP,,TD Garden
474,2014-04-11,WSH,,CHI,W,,Alex Ovechkin,28-206,422,John Carlson,Nicklas Bäckström,Corey Crawford,1,02:04,PP,,Verizon Center
475,2014-04-08,WSH,@,STL,W,,Alex Ovechkin,28-203,421,John Carlson,Joel Ward,Ryan Miller,1,17:54,PP,,Scottrade Center
476,2014-04-04,WSH,@,NJD,L,,Alex Ovechkin,28-199,420,Mikhail Grabovski,Nicklas Bäckström,Cory Schneider,1,10:12,EV,,Prudential Center
477,2014-03-25,WSH,,LAK,L,SO,Alex Ovechkin,28-189,418,John Carlson,Troy Brouwer,Jonathan Quick,1,02:24,PP,,Verizon Center
478,2014-03-25,WSH,,LAK,L,SO,Alex Ovechkin,28-189,419,Troy Brouwer,Nicklas Bäckström,Jonathan Quick,1,07:04,PP,,Verizon Center
479,2014-03-18,WSH,@,ANA,W,,Alex Ovechkin,28-182,417,John Carlson,Nicklas Bäckström,Jonas Hiller,3,02:44,PP,,Honda Center
480,2014-03-14,WSH,,VAN,W,,Alex Ovechkin,28-178,416,John Carlson,Evgeny Kuznetsov,Eddie Läck,2,08:28,PP,,Verizon Center
481,2014-03-05,WSH,@,PHI,L,,Alex Ovechkin,28-169,415,Nicklas Bäckström,John Carlson,Steve Mason,3,06:35,PP,,Wells Fargo Center
482,2014-03-01,WSH,@,BOS,W,,Alex Ovechkin,28-165,413,John Carlson,Nicklas Bäckström,Tuukka Rask,1,18:39,PP,,TD Garden
483,2014-03-01,WSH,@,BOS,W,,Alex Ovechkin,28-165,414,Marcus Johansson,Joel Ward,Tuukka Rask,2,02:24,PP,,TD Garden
484,2014-02-27,WSH,@,FLA,W,,Alex Ovechkin,28-163,412,Brooks Laich,Nicklas Bäckström,Tim Thomas,3,15:43,EV,,BB&T Center
485,2014-02-06,WSH,,WPG,W,,Alex Ovechkin,28-142,411,Nicklas Bäckström,Karl Alzner,Ondřej Pavelec,3,07:46,EV,,Verizon Center
486,2014-02-02,WSH,,DET,W,OT,Alex Ovechkin,28-138,410,John Carlson,Nicklas Bäckström,Jimmy Howard,OT,02:37,PP,,Verizon Center
487,2014-01-28,WSH,@,BUF,W,OT,Alex Ovechkin,28-133,409,Mike Green,Marcus Johansson,Jhonas Enroth,1,04:42,EV,,First Niagara Center
488,2014-01-28,WSH,@,BUF,W,OT,Alex Ovechkin,28-133,408,Nicklas Bäckström,Troy Brouwer,Jhonas Enroth,1,03:49,PP,,First Niagara Center
489,2014-01-25,WSH,@,MTL,W,,Alex Ovechkin,28-130,407,Jason Chimera,Joel Ward,Carey Price,2,01:46,EV,,Bell Centre
490,2014-01-19,WSH,@,NYR,L,,Alex Ovechkin,28-124,406,Mike Green,Nicklas Bäckström,Henrik Lundqvist,2,00:59,PP,,Madison Square Garden (IV)
491,2014-01-15,WSH,@,PIT,L,,Alex Ovechkin,28-120,405,Marcus Johansson,Mike Green,Marc-André Fleury,3,08:35,EV,,CONSOL Energy Center
492,2014-01-14,WSH,,SJS,L,SO,Alex Ovechkin,28-119,404,Karl Alzner,Mikhail Grabovski,Antti Niemi,2,12:44,EV,,Verizon Center
493,2014-01-10,WSH,,TOR,W,,Alex Ovechkin,28-115,403,Mikhail Grabovski,Mike Green,Jonathan Bernier,2,06:39,EV,,Verizon Center
494,2014-01-02,WSH,,CAR,L,OT,Alex Ovechkin,28-107,402,Marcus Johansson,Karl Alzner,Anton Khudobin,2,00:49,EV,,Verizon Center
495,2013-12-21,WSH,,NJD,L,OT,Alex Ovechkin,28-095,401,Karl Alzner,,Martin Brodeur,3,08:07,EV,,Verizon Center
496,2013-12-20,WSH,@,CAR,W,,Alex Ovechkin,28-094,400,Nicklas Bäckström,Martin Erat,,3,19:35,EV,EN,PNC Arena
497,2013-12-17,WSH,@,PHI,L,,Alex Ovechkin,28-091,399,Nicklas Bäckström,Marcus Johansson,Steve Mason,2,00:40,PP,,Wells Fargo Center
498,2013-12-15,WSH,,PHI,W,SO,Alex Ovechkin,28-089,398,Joel Ward,,Steve Mason,3,19:12,EV,,Verizon Center
499,2013-12-10,WSH,,TBL,W,SO,Alex Ovechkin,28-084,394,Nicklas Bäckström,,Ben Bishop,1,14:15,EV,,Verizon Center
500,2013-12-10,WSH,,TBL,W,SO,Alex Ovechkin,28-084,397,John Carlson,Nicklas Bäckström,Ben Bishop,3,19:27,EV,,Verizon Center
501,2013-12-10,WSH,,TBL,W,SO,Alex Ovechkin,28-084,395,Marcus Johansson,Nicklas Bäckström,Ben Bishop,2,16:38,PP,,Verizon Center
502,2013-12-10,WSH,,TBL,W,SO,Alex Ovechkin,28-084,396,Mike Green,Nicklas Bäckström,Ben Bishop,2,18:48,PP,,Verizon Center
503,2013-12-07,WSH,,NSH,W,,Alex Ovechkin,28-081,393,Nicklas Bäckström,,Marek Mazanec,1,13:09,PP,,Verizon Center
504,2013-11-30,WSH,@,NYI,W,OT,Alex Ovechkin,28-074,392,Mikhail Grabovski,Nate Schmidt,Anders Nilsson,OT,02:07,EV,,Nassau Veterans Memorial Coliseum
505,2013-11-23,WSH,@,TOR,L,SO,Alex Ovechkin,28-067,391,Mike Green,,James Reimer,3,15:50,EV,,Air Canada Centre
506,2013-11-22,WSH,,MTL,L,,Alex Ovechkin,28-066,390,John Carlson,Mikhail Grabovski,Peter Budaj,3,12:27,EV,,Verizon Center
507,2013-11-22,WSH,,MTL,L,,Alex Ovechkin,28-066,389,John Carlson,Troy Brouwer,Peter Budaj,1,19:37,PP,,Verizon Center
508,2013-11-17,WSH,,STL,W,,Alex Ovechkin,28-061,387,Nicklas Bäckström,Steven Oleksy,Jaroslav Halák,1,07:17,EV,,Verizon Center
509,2013-11-17,WSH,,STL,W,,Alex Ovechkin,28-061,388,Karl Alzner,Nicklas Bäckström,Jaroslav Halák,1,12:34,EV,,Verizon Center
