Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
68,2023-12-21,WSH,@,CBJ,W,OT,Alex Ovechkin,38-095,828,Dylan Strome,John Carlson,Elvis Merzļikins,OT,04:07,PP,,Nationwide Arena
69,2023-11-18,WSH,,CBJ,W,,Alex Ovechkin,38-062,827,Dylan Strome,,Elvis Merzļikins,2,15:47,EV,,Capital One Arena
70,2023-11-11,WSH,@,NYI,W,,Alex Ovechkin,38-055,826,Beck Malenstyn,Rasmus Sandin,,3,19:57,EV,EN,UBS Arena
71,2023-11-11,WSH,@,NYI,W,,Alex Ovechkin,38-055,825,Evgeny Kuznetsov,,Semyon Varlamov,1,09:18,EV,,UBS Arena
72,2023-10-25,WSH,@,NJD,W,,Alex Ovechkin,38-038,824,,,,3,18:25,EV,EN,Prudential Center
73,2023-10-24,WSH,,TOR,L,,Alex Ovechkin,38-037,823,John Carlson,Tom Wilson,Joseph Woll,2,19:49,PP,,Capital One Arena
74,2023-03-25,WSH,@,PIT,L,,Alex Ovechkin,37-189,822,John Carlson,Dylan Strome,Casey DeSmith,3,13:18,PP,,PPG Paints Arena
75,2023-03-23,WSH,,CHI,W,,Alex Ovechkin,37-187,821,,,Anton Khudobin,3,14:56,EV,,Capital One Arena
76,2023-03-21,WSH,,CBJ,L,OT,Alex Ovechkin,37-185,820,Tom Wilson,Dylan Strome,Daniil Tarasov,1,05:12,EV,,Capital One Arena
77,2023-03-19,WSH,@,MIN,L,,Alex Ovechkin,37-183,819,Tom Wilson,Dylan Strome,Marc-André Fleury,3,12:33,PP,,Xcel Energy Center
78,2023-03-19,WSH,@,MIN,L,,Alex Ovechkin,37-183,818,Rasmus Sandin,,Marc-André Fleury,2,05:34,PP,,Xcel Energy Center
79,2023-03-15,WSH,,BUF,W,SO,Alex Ovechkin,37-179,817,Trevor van Riemsdyk,Dylan Strome,Ukko-Pekka Luukkonen,3,10:30,EV,,Capital One Arena
80,2023-03-06,WSH,@,LAK,L,,Alex Ovechkin,37-170,816,Rasmus Sandin,Nicklas Bäckström,Pheonix Copley,3,02:31,PP,,Crypto.com Arena
81,2023-03-04,WSH,@,SJS,W,,Alex Ovechkin,37-168,815,Vincent Iorio,Rasmus Sandin,Kaapo Kähkönen,3,16:05,EV,,SAP Center at San Jose
82,2023-03-04,WSH,@,SJS,W,,Alex Ovechkin,37-168,814,Tom Wilson,Gabriel Carlsson,Kaapo Kähkönen,3,09:11,EV,,SAP Center at San Jose
83,2023-02-26,WSH,@,BUF,L,,Alex Ovechkin,37-162,813,Erik Gustafsson,Evgeny Kuznetsov,Ukko-Pekka Luukkonen,2,15:49,EV,,KeyBank Center
84,2023-01-26,WSH,,PIT,W,SO,Alex Ovechkin,37-131,812,Evgeny Kuznetsov,Dmitry Orlov,Casey DeSmith,1,06:00,PP,,Capital One Arena
85,2023-01-24,WSH,@,COL,L,,Alex Ovechkin,37-129,811,Dylan Strome,,Alexandar Georgiev,3,09:44,EV,,Ball Arena
86,2023-01-14,WSH,,PHI,L,,Alex Ovechkin,37-119,810,,,Carter Hart,1,17:56,EV,,Capital One Arena
87,2023-01-05,WSH,@,CBJ,W,,Alex Ovechkin,37-110,809,Dylan Strome,Evgeny Kuznetsov,Elvis Merzļikins,3,13:05,PP,,Nationwide Arena
88,2023-01-03,WSH,,BUF,L,OT,Alex Ovechkin,37-108,808,Conor Sheary,,Ukko-Pekka Luukkonen,3,07:10,EV,,Capital One Arena
89,2023-01-03,WSH,,BUF,L,OT,Alex Ovechkin,37-108,807,Evgeny Kuznetsov,,Ukko-Pekka Luukkonen,2,16:46,EV,,Capital One Arena
90,2022-12-31,WSH,,MTL,W,,Alex Ovechkin,37-105,805,Erik Gustafsson,Marcus Johansson,Jake Allen,3,01:22,PP,,Capital One Arena
91,2022-12-31,WSH,,MTL,W,,Alex Ovechkin,37-105,806,Conor Sheary,,Jake Allen,3,16:35,EV,,Capital One Arena
92,2022-12-31,WSH,,MTL,W,,Alex Ovechkin,37-105,804,Trevor van Riemsdyk,Lars Eller,Jake Allen,2,09:06,EV,,Capital One Arena
93,2022-12-29,WSH,,OTT,L,OT,Alex Ovechkin,37-103,803,Erik Gustafsson,Garnet Hathaway,Cam Talbot,2,01:15,EV,,Capital One Arena
94,2022-12-23,WSH,,WPG,W,,Alex Ovechkin,37-097,802,Evgeny Kuznetsov,,,3,19:00,EV,EN,Capital One Arena
95,2022-12-23,WSH,,WPG,W,,Alex Ovechkin,37-097,801,Dylan Strome,Conor Sheary,David Rittich,1,18:22,EV,,Capital One Arena
96,2022-12-13,WSH,@,CHI,W,,Alex Ovechkin,37-087,799,Conor Sheary,Sonny Milano,Petr Mrázek,1,08:14,PP,,United Center
97,2022-12-13,WSH,@,CHI,W,,Alex Ovechkin,37-087,798,John Carlson,Conor Sheary,Petr Mrázek,1,00:24,EV,,United Center
98,2022-12-13,WSH,@,CHI,W,,Alex Ovechkin,37-087,800,Anthony Mantha,Evgeny Kuznetsov,Petr Mrázek,3,06:34,EV,,United Center
99,2022-12-11,WSH,@,WPG,W,,Alex Ovechkin,37-085,797,Dmitry Orlov,,,3,17:48,EV,EN,Canada Life Centre
100,2022-12-09,WSH,,SEA,W,,Alex Ovechkin,37-083,796,Evgeny Kuznetsov,John Carlson,,3,19:56,EV,EN,Capital One Arena
101,2022-12-07,WSH,@,PHI,W,,Alex Ovechkin,37-081,795,Evgeny Kuznetsov,Conor Sheary,,3,19:51,EV,EN,Wells Fargo Center
102,2022-12-07,WSH,@,PHI,W,,Alex Ovechkin,37-081,794,Anthony Mantha,John Carlson,,3,18:25,EV,EN,Wells Fargo Center
103,2022-11-29,WSH,@,VAN,W,,Alex Ovechkin,37-073,793,Dylan Strome,Anthony Mantha,Spencer Martin,1,11:52,EV,,Rogers Arena
104,2022-11-29,WSH,@,VAN,W,,Alex Ovechkin,37-073,792,,,Spencer Martin,1,05:35,EV,,Rogers Arena
105,2022-11-25,WSH,,CGY,W,,Alex Ovechkin,37-069,791,Conor Sheary,Sonny Milano,Jacob Markström,3,12:24,PP,,Capital One Arena
106,2022-11-23,WSH,,PHI,W,OT,Alex Ovechkin,37-067,790,Dylan Strome,Erik Gustafsson,Felix Sandström,OT,01:04,EV,,Capital One Arena
107,2022-11-17,WSH,@,STL,L,SO,Alex Ovechkin,37-061,789,Dylan Strome,,Thomas Greiss,2,15:12,EV,,Enterprise Center
108,2022-11-07,WSH,,EDM,W,,Alex Ovechkin,37-051,788,Erik Gustafsson,Evgeny Kuznetsov,Stuart Skinner,2,14:36,PP,,Capital One Arena
109,2022-11-05,WSH,,ARI,L,,Alex Ovechkin,37-049,787,Trevor van Riemsdyk,Anthony Mantha,Karel Vejmelka,2,08:55,PP,,Capital One Arena
110,2022-11-03,WSH,@,DET,L,,Alex Ovechkin,37-047,786,Evgeny Kuznetsov,,Ville Husso,2,07:11,EV,,Little Caesars Arena
111,2022-10-31,WSH,@,CAR,L,SO,Alex Ovechkin,37-044,785,Erik Gustafsson,Evgeny Kuznetsov,Frederik Andersen,2,08:57,PP,,PNC Arena
112,2022-10-29,WSH,@,NSH,W,,Alex Ovechkin,37-042,784,Dmitry Orlov,,,3,17:15,EV,EN,Bridgestone Arena
113,2022-10-24,WSH,@,NJD,W,,Alex Ovechkin,37-037,783,John Carlson,Dylan Strome,Mackenzie Blackwood,2,17:14,PP,,Prudential Center
114,2022-10-17,WSH,,VAN,W,,Alex Ovechkin,37-030,781,Marcus Johansson,Dylan Strome,Thatcher Demko,1,00:56,PP,,Capital One Arena
115,2022-10-17,WSH,,VAN,W,,Alex Ovechkin,37-030,782,Evgeny Kuznetsov,Nick Jensen,Thatcher Demko,3,17:02,EV,,Capital One Arena
116,2022-04-20,WSH,@,VEG,L,OT,Alex Ovechkin,36-215,780,Dmitry Orlov,Nicklas Bäckström,Logan Thompson,3,13:36,EV,,T-Mobile Arena
117,2022-04-20,WSH,@,VEG,L,OT,Alex Ovechkin,36-215,779,Evgeny Kuznetsov,Marcus Johansson,Logan Thompson,2,02:57,EV,,T-Mobile Arena
118,2022-04-18,WSH,@,COL,W,,Alex Ovechkin,36-213,778,Evgeny Kuznetsov,John Carlson,Darcy Kuemper,2,13:27,PP,,Ball Arena
119,2022-04-16,WSH,@,MTL,W,,Alex Ovechkin,36-211,777,Evgeny Kuznetsov,,Sam Montembeault,2,15:36,EV,,Bell Centre
120,2022-04-12,WSH,,PHI,W,,Alex Ovechkin,36-207,776,Conor Sheary,Evgeny Kuznetsov,Carter Hart,1,06:01,EV,,Capital One Arena
121,2022-04-10,WSH,,BOS,W,,Alex Ovechkin,36-205,775,Evgeny Kuznetsov,John Carlson,,3,19:58,EV,EN,Capital One Arena
122,2022-04-09,WSH,@,PIT,W,,Alex Ovechkin,36-204,774,John Carlson,Nicklas Bäckström,Tristan Jarry,2,04:49,PP,,PPG Paints Arena
123,2022-04-06,WSH,,TBL,W,,Alex Ovechkin,36-201,773,John Carlson,Evgeny Kuznetsov,Andrei Vasilevskiy,1,15:10,EV,,Capital One Arena
124,2022-03-26,WSH,,NJD,W,,Alex Ovechkin,36-190,772,Evgeny Kuznetsov,Nicklas Bäckström,Nico Daws,3,11:48,PP,,Capital One Arena
125,2022-03-25,WSH,@,BUF,W,SO,Alex Ovechkin,36-189,771,Evgeny Kuznetsov,,Dustin Tokarski,2,16:47,EV,,KeyBank Center
126,2022-03-20,WSH,,DAL,L,,Alex Ovechkin,36-184,770,John Carlson,Evgeny Kuznetsov,Jake Oettinger,2,04:53,PP,,Capital One Arena
127,2022-03-18,WSH,@,CAR,W,SO,Alex Ovechkin,36-182,769,Nicklas Bäckström,,Antti Raanta,3,14:56,PP,,PNC Arena
128,2022-03-17,WSH,@,CBJ,W,,Alex Ovechkin,36-181,768,Conor Sheary,Tom Wilson,Elvis Merzļikins,2,10:44,PP,,Nationwide Arena
129,2022-03-15,WSH,,NYI,W,SO,Alex Ovechkin,36-179,767,Evgeny Kuznetsov,,Semyon Varlamov,3,15:02,EV,,Capital One Arena
130,2022-03-08,WSH,@,CGY,W,,Alex Ovechkin,36-172,766,Tom Wilson,Nick Jensen,,3,18:12,EV,EN,Scotiabank Saddledome
131,2022-03-08,WSH,@,CGY,W,,Alex Ovechkin,36-172,765,Evgeny Kuznetsov,,Daniel Vladař,2,13:23,EV,,Scotiabank Saddledome
